Python_Function,Description,Unit Test Cases
def count_vowels(s): return sum(1 for char in s.lower() if char in 'aeiou'),"Counts the number of vowels in a string.

This function returns the total number of vowels in the string s. Vowels include 'a', 'e', 'i', 'o', and 'u'.","def test_count_vowels(): assert count_vowels(""hello"") == 2 assert count_vowels(""python"") == 1 assert count_vowels("""") == 0"
"def detect_cycle(head): slow, fast = head, head; while fast and fast.next: slow = slow.next; fast = fast.next.next; if slow == fast: slow = head; while slow != fast: slow = slow.next; fast = fast.next; return slow; return None","Detects if a cycle exists in a linked list.

This function returns the node where the cycle begins in a linked list. It uses Floyd? Tortoise and Hare algorithm to detect the cycle and find the starting node.","def test_detect_cycle(): head = ListNode(3, ListNode(2, ListNode(0, ListNode(-4)))); head.next.next.next.next = head.next; assert detect_cycle(head) == head.next"
"def get_intersection(lst1, lst2): return list(set(lst1) & set(lst2))",Finds intersection between two lists.,"def test_get_intersection(): assert get_intersection([1, 2, 3], [2, 3, 4]) == [2, 3] assert get_intersection([5, 6], [7, 8]) == [] assert get_intersection([], [1, 2]) == []"
"def accounts_merge(accounts): from collections import defaultdict; parent, email_to_name = {}, {}; def find(x): parent[x] = parent.get(x, x); if parent[x] != x: parent[x] = find(parent[x]); return parent[x]; def union(x, y): parent[find(x)] = find(y); for account in accounts: name = account[0]; for email in account[1:]: email_to_name[email] = name; union(account[1], email); merged_accounts = defaultdict(list); for email in email_to_name: merged_accounts[find(email)].append(email); return [[email_to_name[emails[0]]] + sorted(emails) for emails in merged_accounts.values()]","Merges accounts with the same email addresses.

This function returns a merged list of accounts where accounts with common emails are merged. Each account contains a name and multiple email addresses. It uses union-find to group emails belonging to the same person.","def test_accounts_merge(): accounts = [[""John"", ""johnsmith@mail.com"", ""john00@mail.com""], [""John"", ""johnnybravo@mail.com""], [""John"", ""johnsmith@mail.com"", ""john_newyork@mail.com""], [""Mary"", ""mary@mail.com""]]; assert accounts_merge(accounts) == [[""John"", ""john00@mail.com"", ""john_newyork@mail.com"", ""johnsmith@mail.com""], [""John"", ""johnnybravo@mail.com""], [""Mary"", ""mary@mail.com""]]"
"def Power(num1,num2):  if num2==0:    return 1  return num1*Power(num1, num2-1)num1=int(input(""Enter the base value:""))num2=int(input(""Enter the power value:""))print(""Power of Number Using Recursion is:"",Power(num1,num2))","""""""
Brief Description:
------------------
Power function performs a specific operation as described below.

Extended Description:
---------------------
This function, `Power`, takes 2 parameters: num1, num2. It is designed to perform a certain task using these parameters.

Parameters:
-----------
num1 : type
    Description of num1.
num2 : type
    Description of num2.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> Power(value, value)
Expected output
""""""","import unittest

class TestPower(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = Power(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = Power(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def comb_sort(nums):
    shrink_fact = 1.3
    gaps = len(nums)
    swapped = True
    i = 0
    while gaps > 1 or swapped:
        gaps = int(float(gaps) / shrink_fact)
        swapped = False
        i = 0
        while gaps + i < len(nums):
            if nums[i] > nums[i+gaps]:
                nums[i], nums[i+gaps] = nums[i+gaps], nums[i]
                swapped = True
            i += 1
    return nums","This function 'comb_sort' performs a specific operation.

The function 'comb_sort' takes the following parameters: nums. It performs operations based on the parameters provided.","def test_comb_sort():
    # Add test cases for comb_sort
    assert comb_sort(...) == expected_output"
"def check_k_elements(test_list, K):
  res = True
  for tup in test_list:
    for ele in tup:
      if ele != K:
        res = False
  return (res) ","This function 'check_k_elements' performs a specific operation.

The function 'check_k_elements' takes the following parameters: test_list, K. It performs operations based on the parameters provided.","def test_check_k_elements():
    # Add test cases for check_k_elements
    assert check_k_elements(...) == expected_output"
"def count_Primes_nums(n):
    ctr = 0
    for num in range(n):
        if num <= 1:
            continue
        for i in range(2,num):
            if (num % i) == 0:
                break
        else:
            ctr += 1
    return ctr","This function 'count_Primes_nums' performs a specific operation.

The function 'count_Primes_nums' takes the following parameters: n. It performs operations based on the parameters provided.","def test_count_Primes_nums():
    # Add test cases for count_Primes_nums
    assert count_Primes_nums(...) == expected_output"
"def longest_common_subsequence(text1, text2): dp = [[0] * (len(text2) + 1) for _ in range(len(text1) + 1)]; for i in range(1, len(text1) + 1): for j in range(1, len(text2) + 1): if text1[i - 1] == text2[j - 1]: dp[i][j] = dp[i - 1][j - 1] + 1; else: dp[i][j] = max(dp[i - 1][j], dp[i][j - 1]); return dp[-1][-1]","Finds the length of the longest common subsequence between two strings.

This function returns the length of the longest common subsequence (LCS) between two strings text1 and text2. It uses dynamic programming to calculate the LCS in O(n*m) time.","def test_longest_common_subsequence(): assert longest_common_subsequence(""abcde"", ""ace"") == 3 assert longest_common_subsequence(""abc"", ""def"") == 0"
"import heapq as hq
def heap_queue_largest(nums,n):
  largest_nums = hq.nlargest(n, nums)
  return largest_nums","This function 'heap_queue_largest' performs a specific operation.

The function 'heap_queue_largest' takes the following parameters: nums, n. It performs operations based on the parameters provided.","def test_heap_queue_largest():
    # Add test cases for heap_queue_largest
    assert heap_queue_largest(...) == expected_output"
"def longest_word_in_dict(words): words.sort(key=lambda x: (-len(x), x)); word_set = set(words); for word in words: if all(word[:i] in word_set for i in range(1, len(word))): return word; return """"","Finds the longest word in a dictionary.

This function returns the longest word in the input list words that can be built one character at a time by other words in the list. If there are multiple possible results, it returns the lexicographically smallest one.","def test_longest_word_in_dict(): assert longest_word_in_dict([""w"", ""wo"", ""wor"", ""worl"", ""world""]) == ""world"" assert longest_word_in_dict([""a"", ""banana"", ""app"", ""appl"", ""ap"", ""apply"", ""apple""]) == ""apple"""
"def format_currency(amount): return ""${:,.2f}"".format(amount)","Formats a number as currency.

This function returns a string representing the input amount formatted as currency with two decimal places and commas for thousands.","def test_format_currency(): assert format_currency(1234.567) == ""$1,234.57"" assert format_currency(0) == ""$0.00"" assert format_currency(987654.321) == ""$987,654.32"""
def is_prime_palindrome(n): return str(n) == str(n)[::-1] and is_prime(n),"Checks if a number is a prime palindrome.

This function returns True if the number n is both a prime number and a palindrome, meaning it reads the same forwards and backwards.",def test_is_prime_palindrome(): assert is_prime_palindrome(131) assert not is_prime_palindrome(121) assert not is_prime_palindrome(10)
"def remove_k_digits(num, k): stack = []; for digit in num: while k and stack and stack[-1] > digit: stack.pop(); k -= 1; stack.append(digit); return ''.join(stack[:-k or None]).lstrip('0') or '0'","Removes k digits to form the smallest possible number.

This function returns the smallest possible number by removing exactly k digits from the string num. It uses a stack to construct the result while maintaining the smallest possible order.","def test_remove_k_digits(): assert remove_k_digits(""1432219"", 3) == ""1219"" assert remove_k_digits(""10200"", 1) == ""200"""
"def super_seq(X, Y, m, n):
	if (not m):
		return n
	if (not n):
		return m
	if (X[m - 1] == Y[n - 1]):
		return 1 + super_seq(X, Y, m - 1, n - 1)
	return 1 + min(super_seq(X, Y, m - 1, n),	super_seq(X, Y, m, n - 1))","This function 'super_seq' performs a specific operation.

The function 'super_seq' takes the following parameters: X, Y, m, n. It performs operations based on the parameters provided.","def test_super_seq():
    # Add test cases for super_seq
    assert super_seq(...) == expected_output"
def count_battleships(board): count = 0; for i in range(len(board)): for j in range(len(board[0])): if board[i][j] == 'X' and (i == 0 or board[i-1][j] != 'X') and (j == 0 or board[i][j-1] != 'X'): count += 1; return count,"Counts the number of battleships on a board.

This function returns the number of battleships on the input m x n board, where each battleship is represented by consecutive 'X' characters horizontally or vertically. It avoids counting the same battleship more than once.","def test_count_battleships(): board = [[""X"", ""."", ""."", ""X""], [""."", ""."", ""."", ""X""], [""."", ""."", ""."", ""X""]]; assert count_battleships(board) == 2"
"def Total_Hamming_Distance(n):   
    i = 1
    sum = 0
    while (n // i > 0):  
        sum = sum + n // i  
        i = i * 2     
    return sum","This function 'Total_Hamming_Distance' performs a specific operation.

The function 'Total_Hamming_Distance' takes the following parameters: n. It performs operations based on the parameters provided.","def test_Total_Hamming_Distance():
    # Add test cases for Total_Hamming_Distance
    assert Total_Hamming_Distance(...) == expected_output"
"def len_log(list1):
    min=len(list1[0])
    for i in list1:
        if len(i)<min:
            min=len(i)
    return min","This function 'len_log' performs a specific operation.

The function 'len_log' takes the following parameters: list1. It performs operations based on the parameters provided.","def test_len_log():
    # Add test cases for len_log
    assert len_log(...) == expected_output"
"def quickSort(data_list):   quickSortHlp(data_list,0,len(data_list)-1)def quickSortHlp(data_list,first,last):   if first < last:       splitpoint = partition(data_list,first,last)       quickSortHlp(data_list,first,splitpoint-1)       quickSortHlp(data_list,splitpoint+1,last)def partition(data_list,first,last):   pivotvalue = data_list[first]   leftmark = first+1   rightmark = last   done = False   while not done:       while leftmark <= rightmark and data_list[leftmark] <= pivotvalue:           leftmark = leftmark + 1       while data_list[rightmark] >= pivotvalue and rightmark >= leftmark:           rightmark = rightmark -1       if rightmark < leftmark:           done = True       else:           temp = data_list[leftmark]           data_list[leftmark] = data_list[rightmark]           data_list[rightmark] = temp   temp = data_list[first]   data_list[first] = data_list[rightmark]   data_list[rightmark] = temp   return rightmarkdata_list = [54,26,93,17,77,31,44,55,20]quickSort(data_list)print(data_list)","""""""
Brief Description:
------------------
quickSort function performs a specific operation as described below.

Extended Description:
---------------------
This function, `quickSort`, takes 1 parameters: data_list. It is designed to perform a certain task using these parameters.

Parameters:
-----------
data_list : type
    Description of data_list.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> quickSort(value)
Expected output
""""""","import unittest

class TestQuicksort(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = quickSort(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = quickSort(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def sort_on_occurence(lst): 
	dct = {} 
	for i, j in lst: 
		dct.setdefault(i, []).append(j) 
	return ([(i, *dict.fromkeys(j), len(j)) 
				for i, j in dct.items()]) ","This function 'sort_on_occurence' performs a specific operation.

The function 'sort_on_occurence' takes the following parameters: lst. It performs operations based on the parameters provided.","def test_sort_on_occurence():
    # Add test cases for sort_on_occurence
    assert sort_on_occurence(...) == expected_output"
"def ngcd(x,y):
    i=1
    while(i<=x and i<=y):
        if(x%i==0 and y%i == 0):
            gcd=i;
        i+=1
    return gcd;
def num_comm_div(x,y):
  n = ngcd(x,y)
  result = 0
  z = int(n**0.5)
  i = 1
  while(i <= z):
    if(n % i == 0):
      result += 2 
      if(i == n/i):
        result-=1
    i+=1
  return result","This function 'ngcd' performs a specific operation.

The function 'ngcd' takes the following parameters: x, y. It performs operations based on the parameters provided.","def test_ngcd():
    # Add test cases for ngcd
    assert ngcd(...) == expected_output"
def sum_of_digits(n): return sum(int(digit) for digit in str(n)),"Calculates the sum of digits of a number.

This function returns the sum of all digits in the input number n.",def test_sum_of_digits(): assert sum_of_digits(123) == 6 assert sum_of_digits(456) == 15 assert sum_of_digits(0) == 0
"def merge_two_bst(t1, t2): if not t1: return t2; if not t2: return t1; t1.val += t2.val; t1.left = merge_two_bst(t1.left, t2.left); t1.right = merge_two_bst(t1.right, t2.right); return t1","Merges two binary search trees.

This function returns a new binary search tree by merging two input trees t1 and t2. For each node that exists in both trees, their values are summed, and the merging continues recursively for left and right children.","def test_merge_two_bst(): t1 = TreeNode(1, TreeNode(3, TreeNode(5)), TreeNode(2)); t2 = TreeNode(2, TreeNode(1, None, TreeNode(4)), TreeNode(3, None, TreeNode(7))); merged = merge_two_bst(t1, t2); assert merged.val == 3 and merged.left.val == 4 and merged.right.val == 5"
"def find_longest_word(words): return max(words, key=len)","Finds the longest word in a list of words.

This function returns the longest word from a list of words. If there are multiple words with the same length, it returns the first one encountered.","def test_find_longest_word(): assert find_longest_word([""apple"", ""banana"", ""cherry""]) == ""banana"" assert find_longest_word([""cat"", ""elephant"", ""tiger""]) == ""elephant"" assert find_longest_word([""a"", ""b"", ""c""]) == ""a"""
"def binary_to_integer(test_tup):
  res = int("""".join(str(ele) for ele in test_tup), 2)
  return (str(res)) ","This function 'binary_to_integer' performs a specific operation.

The function 'binary_to_integer' takes the following parameters: test_tup. It performs operations based on the parameters provided.","def test_binary_to_integer():
    # Add test cases for binary_to_integer
    assert binary_to_integer(...) == expected_output"
def rotate_matrix(matrix): matrix[:] = [list(row) for row in zip(*matrix[::-1])],"Rotates a matrix by 90 degrees clockwise.

This function modifies the input n x n matrix by rotating it 90 degrees clockwise in-place. It uses matrix transposition and row reversal to achieve the rotation.","def test_rotate_matrix(): matrix = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]; rotate_matrix(matrix); assert matrix == [[7, 4, 1], [8, 5, 2], [9, 6, 3]]"
"def zigzag_conversion(s, num_rows): if num_rows == 1: return s; rows = [''] * min(num_rows, len(s)); cur_row, going_down = 0, False; for char in s: rows[cur_row] += char; if cur_row == 0 or cur_row == num_rows - 1: going_down = not going_down; cur_row += 1 if going_down else -1; return ''.join(rows)","Converts a string into a zigzag pattern.

This function returns the string s written in a zigzag pattern with num_rows rows. The characters are arranged diagonally and read row by row.","def test_zigzag_conversion(): assert zigzag_conversion(""PAYPALISHIRING"", 3) == ""PAHNAPLSIIGYIR"" assert zigzag_conversion(""AB"", 1) == ""AB"""
"def nth_harmonic_number(n): return sum(1 / i for i in range(1, n + 1))","Computes the nth harmonic number.

This function returns the n-th harmonic number, which is the sum of the reciprocals of the first n natural numbers.",def test_nth_harmonic_number(): assert nth_harmonic_number(3) == 1.8333333333333333 assert nth_harmonic_number(1) == 1 assert nth_harmonic_number(5) == 2.283333333333333
"def map_dictionary(itr, fn):  return dict(zip(itr, map(fn, itr)))print(map_dictionary([1, 2, 3], lambda x: x * x))","""""""
Brief Description:
------------------
map_dictionary function performs a specific operation as described below.

Extended Description:
---------------------
This function, `map_dictionary`, takes 2 parameters: itr,  fn. It is designed to perform a certain task using these parameters.

Parameters:
-----------
itr : type
    Description of itr.
fn : type
    Description of fn.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> map_dictionary(value, value)
Expected output
""""""","import unittest

class TestMap_dictionary(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = map_dictionary(value, value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = map_dictionary(None, None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def count_no (A,N,L,R): 
    count = 0
    for i in range (L,R + 1): 
        if (i % A != 0): 
            count += 1
        if (count == N): 
            break
    return (i) ","This function 'count_no' performs a specific operation.

The function 'count_no' takes the following parameters: A, N, L, R. It performs operations based on the parameters provided.","def test_count_no():
    # Add test cases for count_no
    assert count_no(...) == expected_output"
"def all_permutations(nums): res = []; def backtrack(start): if start == len(nums): res.append(nums[:]); for i in range(start, len(nums)): nums[start], nums[i] = nums[i], nums[start]; backtrack(start + 1); nums[start], nums[i] = nums[i], nums[start]; backtrack(0); return res","Generates all permutations of a list.

This function returns all permutations of the input list nums. It uses backtracking to recursively generate each permutation by swapping elements.","def test_all_permutations(): assert all_permutations([1, 2, 3]) == [[1, 2, 3], [1, 3, 2], [2, 1, 3], [2, 3, 1], [3, 1, 2], [3, 2, 1]]"
"def is_divisible_by(n, divisor): return n % divisor == 0","Checks if a number is divisible by another number.

This function returns True if n is divisible by divisor, and False otherwise.","def test_is_divisible_by(): assert is_divisible_by(10, 2) assert not is_divisible_by(7, 3) assert is_divisible_by(0, 1)"
"def first_even(nums):
    first_even = next((el for el in nums if el%2==0),-1)
    return first_even","This function 'first_even' performs a specific operation.

The function 'first_even' takes the following parameters: nums. It performs operations based on the parameters provided.","def test_first_even():
    # Add test cases for first_even
    assert first_even(...) == expected_output"
"def lcopy(xs):
  return xs[:]
","This function 'lcopy' performs a specific operation.

The function 'lcopy' takes the following parameters: xs. It performs operations based on the parameters provided.","def test_lcopy():
    # Add test cases for lcopy
    assert lcopy(...) == expected_output"
"import itertools
def remove_duplicate(list1):
 list.sort(list1)
 remove_duplicate = list(list1 for list1,_ in itertools.groupby(list1))
 return remove_duplicate","This function 'remove_duplicate' performs a specific operation.

The function 'remove_duplicate' takes the following parameters: list1. It performs operations based on the parameters provided.","def test_remove_duplicate():
    # Add test cases for remove_duplicate
    assert remove_duplicate(...) == expected_output"
def factorial_recursive(n): if n == 0: return 1 return n * factorial_recursive(n - 1),"Calculates the factorial of a number using recursion.

This function returns the factorial of the input number n by recursively multiplying n by the factorial of n - 1.",def test_factorial_recursive(): assert factorial_recursive(5) == 120 assert factorial_recursive(0) == 1 assert factorial_recursive(3) == 6
"def unique_Element(arr,n):
    s = set(arr)
    if (len(s) == 1):
        return ('YES')
    else:
        return ('NO')","This function 'unique_Element' performs a specific operation.

The function 'unique_Element' takes the following parameters: arr, n. It performs operations based on the parameters provided.","def test_unique_Element():
    # Add test cases for unique_Element
    assert unique_Element(...) == expected_output"
"def unique_list(l):  x = []  for a in l:    if a not in x:      x.append(a)  return xprint(unique_list([1,2,3,3,3,3,4,5])) ","""""""
Brief Description:
------------------
unique_list function performs a specific operation as described below.

Extended Description:
---------------------
This function, `unique_list`, takes 1 parameters: l. It is designed to perform a certain task using these parameters.

Parameters:
-----------
l : type
    Description of l.

Returns:
--------
Return type
    Description of what the function returns.

Example Usage:
--------------
>>> unique_list(value)
Expected output
""""""","import unittest

class TestUnique_list(unittest.TestCase):
    def test_basic(self):
        # Test with example values
        result = unique_list(value)
        expected = 'Expected output'
        self.assertEqual(result, expected)

    def test_edge_cases(self):
        # Test with edge case values (e.g., empty inputs, extreme values)
        result = unique_list(None)
        expected = 'Expected output for edge case'
        self.assertEqual(result, expected)

if __name__ == '__main__':
    unittest.main()"
"def multiply_elements(lst, factor): return [x * factor for x in lst]","Multiplies each element in a list by a factor.

This function returns a new list where each element in lst is multiplied by the given factor.","def test_multiply_elements(): assert multiply_elements([1, 2, 3], 2) == [2, 4, 6] assert multiply_elements([4, 5], 0) == [0, 0] assert multiply_elements([], 10) == []"
"def get_maxgold(gold, m, n): 
    goldTable = [[0 for i in range(n)] 
                        for j in range(m)]   
    for col in range(n-1, -1, -1): 
        for row in range(m):  
            if (col == n-1): 
                right = 0
            else: 
                right = goldTable[row][col+1] 
            if (row == 0 or col == n-1): 
                right_up = 0
            else: 
                right_up = goldTable[row-1][col+1] 
            if (row == m-1 or col == n-1): 
                right_down = 0
            else: 
                right_down = goldTable[row+1][col+1] 
            goldTable[row][col] = gold[row][col] + max(right, right_up, right_down) 
    res = goldTable[0][0] 
    for i in range(1, m): 
        res = max(res, goldTable[i][0])  
    return res ","This function 'get_maxgold' performs a specific operation.

The function 'get_maxgold' takes the following parameters: gold, m, n. It performs operations based on the parameters provided.","def test_get_maxgold():
    # Add test cases for get_maxgold
    assert get_maxgold(...) == expected_output"
"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ","This function 'str_to_list' performs a specific operation.

The function 'str_to_list' takes the following parameters: string. It performs operations based on the parameters provided.","def test_str_to_list():
    # Add test cases for str_to_list
    assert str_to_list(...) == expected_output"
